"153,1.3667910447761193,37.5,1247"
"150,5.55,1533.0,1247"
"134,1.403448275862069,1873.0,1247"
"45,4.57875,159.0,1247"
"153,1.3417582417582419,34.5,1246"
"150,5.635384615384615,1532.5,1246"
"134,1.3271739130434783,1865.5,1246"
"45,4.6367088607594935,160.0,1246"
"153,1.332,35.0,1245"
"150,5.635384615384615,1532.5,1245"
"134,1.3176258992805756,1863.0,1245"
"45,4.6367088607594935,161.5,1245"
"153,1.3129032258064517,36.0,1244"
"150,5.635384615384615,1533.0,1244"
"134,1.298936170212766,1857.0,1244"
"45,4.57875,165.5,1244"
"153,1.3368613138686132,37.5,1243"
"150,5.7234375,1533.0,1243"
"134,1.2852631578947369,1857.5,1243"
"82,4.07,964.5,1243"
"45,4.57875,166.5,1243"
"150,5.7234375,1533.0,1242"
"134,1.263103448275862,1857.0,1242"
"82,4.07,964.5,1242"
"45,4.6367088607594935,169.0,1242"
"150,5.7234375,1533.0,1241"
"134,1.250170648464164,1856.5,1241"
"82,4.07,964.5,1241"
"45,4.57875,166.0,1241"
"150,5.908064516129032,1532.5,1240"
"134,1.1970588235294117,1854.0,1240"
"82,4.07,964.5,1240"
"45,4.522222222222222,158.5,1240"
"150,5.908064516129032,1532.5,1239"
"134,1.1970588235294117,1853.5,1239"
"82,4.07,964.5,1239"
"45,4.467073170731707,159.0,1239"
"150,5.908064516129032,1532.5,1238"
"134,1.2009836065573771,1853.5,1238"
"82,4.115730337078652,964.5,1238"
"45,4.522222222222222,158.5,1238"
"150,5.7234375,1532.5,1237"
"134,1.2049342105263159,1853.0,1237"
"82,4.115730337078652,965.0,1237"
"45,4.467073170731707,157.5,1237"
"150,5.7234375,1532.5,1236"
"134,1.2169435215946844,1850.5,1236"
"82,4.115730337078652,965.5,1236"
"45,4.522222222222222,154.0,1236"
"152,4.6367088607594935,520.0,1235"
"150,5.635384615384615,1532.0,1235"
"134,1.2169435215946844,1846.0,1235"
"82,4.115730337078652,965.5,1235"
"45,4.522222222222222,152.0,1235"
"152,4.6367088607594935,521.0,1234"
"150,5.55,1531.5,1234"
"134,1.1854368932038835,1839.5,1234"
"82,4.115730337078652,966.0,1234"
"45,4.360714285714286,151.5,1234"
"152,4.6367088607594935,521.0,1233"
"150,5.55,1531.5,1233"
"134,1.1816129032258065,1839.0,1233"
"82,4.115730337078652,965.5,1233"
"45,4.360714285714286,151.5,1233"
"152,4.696153846153846,521.5,1232"
"150,5.55,1531.5,1232"
"134,1.1854368932038835,1837.5,1232"
"82,4.115730337078652,965.5,1232"
"45,4.413253012048193,152.0,1232"
"152,4.696153846153846,522.5,1231"
"150,5.55,1531.5,1231"
"134,1.1854368932038835,1833.0,1231"
"82,4.115730337078652,965.5,1231"
"45,4.413253012048193,152.5,1231"
"152,4.696153846153846,525.0,1230"
"150,5.55,1531.0,1230"
"134,1.1816129032258065,1820.0,1230"
"82,4.115730337078652,965.5,1230"
"45,4.522222222222222,153.0,1230"
"152,4.696153846153846,526.0,1229"
"150,5.635384615384615,1531.0,1229"
"134,1.1665605095541403,1816.0,1229"
"82,4.115730337078652,965.5,1229"
"45,4.467073170731707,153.0,1229"
"152,4.757142857142857,528.0,1228"
"150,5.7234375,1532.0,1228"
"134,1.1340557275541796,1806.0,1228"
"82,4.115730337078652,965.5,1228"
"45,4.413253012048193,152.5,1228"
"152,4.8197368421052635,529.0,1227"
"150,5.7234375,1532.0,1227"
"134,1.1305555555555555,1797.0,1227"
"82,4.115730337078652,965.0,1227"
"45,4.413253012048193,153.5,1227"
"152,4.884,528.5,1226"
"134,1.1167682926829268,1774.5,1226"
"82,4.115730337078652,964.5,1226"
"152,4.884,528.5,1225"
"134,1.1167682926829268,1774.0,1225"
"82,4.115730337078652,964.5,1225"
"152,4.757142857142857,529.0,1224"
"134,1.127076923076923,1772.5,1224"
"82,4.115730337078652,964.5,1224"
"45,4.1625000000000005,160.0,1224"
"134,1.1482758620689655,1767.0,1223"
"82,4.115730337078652,964.5,1223"
"45,4.1625000000000005,161.0,1223"
"150,5.7234375,1537.0,1222"
"134,1.1482758620689655,1762.5,1222"
"82,4.115730337078652,964.5,1222"
"45,4.210344827586207,162.5,1222"
"150,5.635384615384615,1538.5,1221"
"134,1.137577639751553,1749.0,1221"
"82,4.115730337078652,964.5,1221"
"45,4.3094117647058825,167.0,1221"
"150,5.55,1538.0,1220"
"134,1.1446875,1737.0,1220"
"82,4.115730337078652,964.5,1220"
"45,4.2593023255813955,167.0,1220"
"150,5.308695652173913,1538.5,1219"
"134,1.2009836065573771,1724.0,1219"
"82,4.115730337078652,964.5,1219"
"45,4.210344827586207,166.5,1219"
"150,5.386764705882353,1539.5,1218"
"134,1.2049342105263159,1717.5,1218"
"82,4.115730337078652,964.5,1218"
"45,4.210344827586207,166.5,1218"
"134,1.2291946308724833,1700.5,1217"
"82,4.115730337078652,964.5,1217"
"45,4.360714285714286,167.5,1217"
"150,5.386764705882353,1546.5,1216"
"149,4.884,1510.0,1216"
"147,1.2852631578947369,1742.5,1216"
"134,1.1892857142857143,1693.5,1216"
"82,4.115730337078652,964.5,1216"
"45,4.3094117647058825,167.5,1216"
"150,5.386764705882353,1546.5,1215"
"149,4.884,1510.5,1215"
"147,1.3082142857142858,1738.5,1215"
"134,1.0901785714285714,1673.0,1215"
"82,4.210344827586207,965.0,1215"
"45,4.07,168.0,1215"
"147,1.3271739130434783,1737.5,1214"
"134,1.1,1670.0,1214"
"82,4.210344827586207,965.0,1214"
"45,4.07,168.5,1214"
"147,1.3719101123595505,1736.0,1213"
"134,1.1305555555555555,1661.5,1213"
"82,4.210344827586207,965.0,1213"
"45,3.981521739130435,169.0,1213"
"134,1.1305555555555555,1657.5,1212"
"82,4.3094117647058825,965.0,1212"
"45,3.896808510638298,170.5,1212"
"134,1.1305555555555555,1658.0,1211"
"82,4.3094117647058825,965.0,1211"
"45,3.896808510638298,170.0,1211"
"134,1.1305555555555555,1657.5,1210"
